page_url,date,page_name,post_url,date_in_screenshot
https://www.facebook.com/100PercentFEDUp/,2020-07-31,100 Percent FED Up,https://www.facebook.com/100PercentFEDUp/photos/a.330374477016724/3201797096541100/,TRUE
https://www.facebook.com/cambodianmedia,2020-11-19,Cambodian Broadcasting Network,https://www.facebook.com/cambodianmedia/posts/4177267408956983,TRUE
https://www.facebook.com/Nibiru-FactsElenin-Facts2012NWOFEMAEarth-QuakesT-Cyclones-etc-192579757479228/,2020-05-12,Nibiru Facts/Elenin Facts/2012/NWO/FEMA/Earth Quakes/T Cyclones etc,https://www.facebook.com/192579757479228/posts/3690526534351182,TRUE
https://www.facebook.com/ChineseForTrump/,2020-11-20,Chinese Immigrants For Trump - 华裔美国人挺川普,https://www.facebook.com/ChineseForTrump/posts/3143770409183438,TRUE
https://www.facebook.com/Thedagshow,2020-11-06,The Dag Show,https://www.facebook.com/Thedagshow/posts/691892901728206,TRUE
https://www.facebook.com/Ijele-Speaks-106142284337349,2020-09-26,Ijele Speaks,https://www.facebook.com/106142284337349/posts/202004034751173,TRUE
https://www.facebook.com/thepatriotswhistle,2020-11-11,The Patriots Whistle,https://www.facebook.com/thepatriotswhistle/posts/2896176873935791,TRUE
https://www.facebook.com/normalsarepissed/,2020-05-18,Normals Are Pissed,https://www.facebook.com/normalsarepissed/posts/629298784345631,TRUE
https://www.facebook.com/crazyhorsebkk,2020-06-10,Crazy Horse BKK,https://www.facebook.com/crazyhorsebkk/posts/1180072679020448,TRUE
https://www.facebook.com/botanicahealth.co.uk/,2020-11-20,Botanica Health,https://www.facebook.com/231483723608235/posts/3537821632974411,TRUE
https://www.facebook.com/Trump-Buchanan-News-1391741607799474,2020-11-10,Trump / Buchanan - News,https://www.facebook.com/1391741607799474/posts/2020931161547179,TRUE
https://www.facebook.com/StopOCSmartMeters,2020-10-17,Stop OC Smart Meters,https://www.facebook.com/StopOCSmartMeters/posts/3513789428711059,TRUE
https://www.facebook.com/Sybil-still-says-stuff-229396640773248/,2020-11-18,Sybil still says stuff,https://www.facebook.com/229396640773248/posts/1386602938385940,TRUE
https://www.facebook.com/national.vaccine.information.center/,2020-10-20,National Vaccine Information Center,https://www.facebook.com/143745137930/posts/10158487533967931,TRUE
https://www.facebook.com/ShatteredWorldMedia/,2020-09-23,Shattered World Media,https://www.facebook.com/1485389031762998/posts/2496532373981987,TRUE
https://www.facebook.com/millionmaskmarch,2020-09-22,Million Mask March,https://www.facebook.com/millionmaskmarch/posts/3132981703480068,TRUE
https://www.facebook.com/dumbstupidandfunny/,2020-10-05,Its So 'Dumb and Stupid' -Its Funny..,https://www.facebook.com/337541338604/posts/10158622693538605,TRUE
https://www.facebook.com/AmericasFrontlineDoctors/,2020-08-25,America's Frontline Doctors,https://www.facebook.com/westand4usa/posts/625024418376875,TRUE
https://www.facebook.com/ExitTheMatrixEngel/,2020-05-13,Exit The Matrix,https://www.facebook.com/514127442254851/posts/1128264364174486,TRUE
https://www.facebook.com/jodiemeschuk/,2020-07-28,Jodie Meschuk,https://www.facebook.com/1722113328082109/posts/2412471849046250,TRUE
https://www.facebook.com/usatermlimits,2020-09-22,Term Limits in the USA,https://www.facebook.com/usatermlimits/posts/1028541507589085,TRUE
https://www.facebook.com/TedCruzMemePage/,2020-11-06,Ted Cruz Meme Page,https://www.facebook.com/1022451114485171/posts/3611869668876623,TRUE
https://www.facebook.com/iUseToVent/,2020-07-20,I Use to _,https://www.facebook.com/iUseToVent/photos/p.161243838813081/161243838813081,TRUE
https://www.facebook.com/TullyNews,2020-10-11,Tully News.Info,https://www.facebook.com/TullyNews/posts/3385701881477561,TRUE
https://www.facebook.com/UltimateHealthAcademy/,2020-09-07,Ultimate Health Academy,https://www.facebook.com/UltimateHealthAcademy/posts/3296038773775183,TRUE
https://www.facebook.com/cincyfortrump/,2020-11-18,Cincy Deplorables for Trump,https://www.facebook.com/cincyfortrump/posts/1572014673000375,TRUE
https://www.facebook.com/Freedom.Libertarians/,2020-08-07,Libertarians: Diligently Plotting to Take Over the World & Leave You Alone,https://www.facebook.com/305526153367218/posts/690379294881900,TRUE
https://www.facebook.com/TheRationalCapitalist/,2020-11-05,The Rational Capitalist,https://www.facebook.com/TheRationalCapitalist/posts/3167871333323111,TRUE
https://www.facebook.com/Alcona-County-Republicans-226832690842311,2020-08-07,Alcona County Republicans,https://www.facebook.com/226832690842311/posts/1524139211111646,TRUE
https://www.facebook.com/Trump4POTUS2020,2020-11-06,Trump Nation,https://www.facebook.com/Trump4POTUS2020/posts/2743988079250460,TRUE
https://www.facebook.com/NGONewsLive/,2020-10-07,NGO News,https://www.facebook.com/104622279580575/posts/3428006763908760,TRUE
https://www.facebook.com/R3ALPATRI0TS,2020-11-01,Real Patriots,https://www.facebook.com/R3ALPATRI0TS/posts/4590569597683639,TRUE
https://www.facebook.com/2atees1/,2020-11-10,2atees1,https://www.facebook.com/2atees1/posts/1565864156938115,TRUE
https://www.facebook.com/RoughWritersIPC/,2020-11-21,RoughWriters,https://www.facebook.com/747176702290472/posts/1329536070721196,TRUE
https://www.facebook.com/iloveco2/,2020-04-28,I Love Carbon Dioxide,https://www.facebook.com/64162630683/posts/10156872415530684,TRUE
https://www.facebook.com/SolomonsPorch.TV/,2020-11-06,SolomonsPorch.TV,https://www.facebook.com/SolomonsPorch.TV/posts/10159030936427147,TRUE
https://www.facebook.com/darinsouthamfan/,2020-11-10,Darin Southam,https://www.facebook.com/57321004972/posts/10159197927564973,TRUE
https://www.facebook.com/BumpforTrump,2020-10-13,Bump for Trump,https://www.facebook.com/BumpforTrump/posts/1772024672958825,TRUE
https://www.facebook.com/marklevinshow,2020-10-05,Mark Levin,https://www.facebook.com/marklevinshow/posts/10158974608048832,TRUE
https://www.facebook.com/TamiMarlerMBA/,2020-11-04,Tami Marler,https://www.facebook.com/TamiMarlerMBA/posts/1405119529694958,TRUE
https://www.facebook.com/ORWELLIANDANKNESS/,2020-05-15,Liberty Memes Against The Machine,https://www.facebook.com/958171017701055/posts/1364145597103593,TRUE
https://www.facebook.com/TRUMPforAmericaToo/,2020-09-03,Trump for America,https://www.facebook.com/TRUMPforAmericaToo/posts/2740609999593961,TRUE
https://www.facebook.com/aAdorableDeplorables/,2020-05-11,Adorable Deplorables,https://www.facebook.com/aAdorableDeplorables/posts/2767701796795463,TRUE
https://www.facebook.com/drericnepute/,2020-09-27,Eric Nepute,https://www.facebook.com/1429618713952936/posts/2776280459286748,FALSE
https://www.facebook.com/erichorning4,2020-11-22,"Abductions, UFOs and Nuclear Weapons",https://www.facebook.com/erichorning4/posts/4061612027199644,FALSE
https://www.facebook.com/POVnow/,2020-11-06,POVnow,https://www.facebook.com/1719153821681875/posts/2741563652774215,FALSE
https://www.facebook.com/An0malyMusic/,2020-10-06,An0maly,https://www.facebook.com/124411634236128/posts/3700201096657146,FALSE
https://www.facebook.com/Evolutions-Family-Tree-156650811060818/,2020-11-23,Evolution's Family Tree,https://www.facebook.com/156650811060818/posts/3716209608438236,FALSE
https://www.facebook.com/electroversenet/,2020-09-10,Electroverse,https://www.facebook.com/279493139294949/posts/744101562834102,FALSE
https://www.facebook.com/TruthfulAmericanNewsNetwork,2020-11-08,The Truthful American,https://www.facebook.com/TruthfulAmericanNewsNetwork/posts/370367784294448,FALSE
https://www.facebook.com/urbanconservativesofamericacorporate,2020-10-06,Urban Conservatives of America,https://www.facebook.com/urbanconservativesofamericacorporate/photos/204074864417238/,FALSE
https://www.facebook.com/americanpublius/,2020-10-30,Publius,https://www.facebook.com/1409826605740956/posts/3503589236364672,FALSE
https://www.facebook.com/Hhummmmmmm/,2020-05-26,"Thoughts that make you go ""hmmmm""",https://www.facebook.com/Hhummmmmmm/posts/3946756258707938,FALSE
https://www.facebook.com/ashsoularmusic/,2020-08-30,Ash Soular,https://www.facebook.com/ashsoularmusic/posts/10157528847064212,FALSE
https://www.facebook.com/theantileftist/,2020-06-25,The Anti Leftist,https://www.facebook.com/446678649219501/posts/670585583495472,FALSE
https://www.facebook.com/comradebirb/,2020-10-11,Comrade Birb Podcast,https://www.facebook.com/comradebirb/posts/1165368203859793,FALSE
https://www.facebook.com/nondilutedtruth/,2020-11-20,Demystifying The Veil,https://www.facebook.com/nondilutedtruth/posts/1583327451873895,FALSE
https://www.facebook.com/BiomagnetismUSA,2020-04-01,Biomagnetism USA,https://www.facebook.com/BiomagnetismUSA/posts/2710458599065547,FALSE
https://www.facebook.com/CalumetCountyConservatives/,2020-11-06,Calumet County Conservatives,https://www.facebook.com/CalumetCountyConservatives/posts/727516041307833,FALSE
https://www.facebook.com/MichiganTrump/,2020-11-07,Michigan for Trump,https://www.facebook.com/MichiganTrump/posts/2819412801673551,FALSE
https://www.facebook.com/ConservativeLife/,2020-11-20,Conservative Life,https://www.facebook.com/ConservativeLife/posts/406653357368801,FALSE
https://www.facebook.com/Wisconsin-Democracy-1789978124426389/,2020-11-08,Wisconsin Democracy,https://www.facebook.com/1789978124426389/posts/3523274427763408,FALSE
https://www.facebook.com/EastWestBradfordGOP,2020-11-22,EastWest Bradford GOP,https://www.facebook.com/EastWestBradfordGOP/posts/3334581956654665,FALSE
https://www.facebook.com/TuckerCarlsonTonight/,2020-09-24,Tucker Carlson Tonight,https://www.facebook.com/TuckerCarlsonTonight/posts/1303851553283494,FALSE
https://www.facebook.com/JewsForTrumpPAC/,2020-11-05,Jews for Trump,https://www.facebook.com/1110464475641621/posts/3631271526894224,FALSE
https://www.facebook.com/proventrue,2020-07-30,The PROOF Blog,https://www.facebook.com/proventrue/posts/3214749991943182,FALSE
https://www.facebook.com/PainfulTruths2,2020-11-12,Painful Truths,https://www.facebook.com/PainfulTruths2/posts/1430402553828568,FALSE
https://www.facebook.com/AdamsCountyRepublicanClub,2020-11-17,Adams County Republican Club,https://www.facebook.com/AdamsCountyRepublicanClub/posts/1054208241673030,FALSE
https://www.facebook.com/SpankTheMonkey15,2020-11-21,Spank - The Monkey,https://www.facebook.com/SpankTheMonkey15/posts/5131265420247478,FALSE
https://www.facebook.com/LibertadPuebloUnido/,2020-10-02,Conspiracion Mundial FALSA Pandemia,https://www.facebook.com/110048244160008/posts/139555621209270,FALSE
https://www.facebook.com/USADumpTrump/,2020-11-13,Tell The USA to DUMP Trump,https://www.facebook.com/USADumpTrump/posts/1783306861816658,FALSE
https://www.facebook.com/TheVikingChristian/,2020-10-29,The Viking Christian,https://www.facebook.com/1829087647382275/posts/2580995298858169,FALSE
https://www.facebook.com/browerreport,2020-11-11,Brower Report,https://www.facebook.com/browerreport/posts/2523271017972897,FALSE
https://www.facebook.com/falseflaginfo-742147902479671,2020-11-05,falseflag.info,https://www.facebook.com/742147902479671/posts/4063881513639610,FALSE
https://www.facebook.com/Leo4AzHouse,2020-10-15,Leo Biasiucci Arizona House of Representatives LD5 Republican,https://www.facebook.com/Leo4AzHouse/posts/3366689730047478,FALSE
https://www.facebook.com/DJTMAGA,2020-11-20,Make America Great Again,https://www.facebook.com/DJTMAGA/posts/3475360299179889,FALSE
https://www.facebook.com/UkipSouthTyneside/,2020-11-06,UKIP in South Tyneside Supporters  Discussion Page,https://www.facebook.com/UkipSouthTyneside/posts/1385961458240825,FALSE
https://www.facebook.com/FloridaBoysTv/,2020-07-29,Florida Boys TV,https://www.facebook.com/571488062950594/posts/3018331958266180,FALSE
https://www.facebook.com/NewsAmmo/,2020-09-23,NewsAmmo,https://www.facebook.com/NewsAmmo/posts/697398010985831,FALSE
https://www.facebook.com/TechBank2017/,2020-11-21,TechBank,https://www.facebook.com/TechBank2017/posts/1465528670318877,FALSE
https://www.facebook.com/The-Cruz-Liberty-Revolution-666122390155956/,2020-11-17,The Cruz Liberty Revolution,https://www.facebook.com/666122390155956/posts/3001416559959849,FALSE
https://www.facebook.com/venturacountylibertarians/,2020-11-21,Libertarian Party Ventura County,https://www.facebook.com/venturacountylibertarians/posts/3523731587696512,FALSE
https://www.facebook.com/theorganichousewife/,2020-07-29,The Organic Housewife,https://www.facebook.com/theorganichousewife/posts/3687673217913782,FALSE
